Borough,Line,Stop Name,Daytime Routes,Image coords,GTFS Stop ID,Station ID,Complex ID,Division,CBD,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label,ADA,ADA Northbound,ADA Southbound,ADA Notes,Georeference
Bk,4th Av,Atlantic Av-Barclays Ctr,D N R,"3225,6172",R31,27,617,BMT,FALSE,Subway,40.683666,-73.97881,Manhattan,Southbound,1,1,1,,POINT (-73.97881 40.683666)
Bk,4th Av,Union St,R,"3225,6386",R32,28,28,BMT,FALSE,Subway,40.677316,-73.98311,Manhattan,Southbound,0,0,0,,POINT (-73.98311 40.677316)
Bk,4th Av,4 Av-9 St,R,"3221,6568",R33,29,608,BMT,FALSE,Subway,40.670847,-73.988302,Manhattan,Southbound,0,0,0,,POINT (-73.988302 40.670847)
Bk,4th Av,Prospect Av,R,"3224,6659",R34,30,30,BMT,FALSE,Subway,40.665414,-73.992872,Manhattan,Southbound,0,0,0,,POINT (-73.992872 40.665414)
Bk,4th Av,25 St,R,"3219,6755",R35,31,31,BMT,FALSE,Subway,40.660397,-73.998091,Manhattan,Southbound,0,0,0,,POINT (-73.998091 40.660397)
Bk,4th Av,36 St,D N R,"3223,6855",R36,32,32,BMT,FALSE,Subway,40.655144,-74.003549,Manhattan,Southbound,0,0,0,,POINT (-74.003549 40.655144)
Bk,4th Av,45 St,R,"3221,6963",R39,33,33,BMT,FALSE,Subway,40.648939,-74.010006,Manhattan,Southbound,0,0,0,,POINT (-74.010006 40.648939)
Bk,4th Av,53 St,R,"3220,7081",R40,34,34,BMT,FALSE,Subway,40.645069,-74.014034,Manhattan,Southbound,0,0,0,,POINT (-74.014034 40.645069)
Bk,4th Av,59 St,N R,"3224,7200",R41,35,35,BMT,FALSE,Subway,40.641362,-74.017881,Manhattan,Southbound,1,1,1,,POINT (-74.017881 40.641362)
Bk,4th Av,Bay Ridge Av,R,"3187,7309",R42,36,36,BMT,FALSE,Subway,40.634967,-74.023377,Manhattan,Bay Ridge,0,0,0,,POINT (-74.023377 40.634967)
Bk,4th Av,77 St,R,"3188,7428",R43,37,37,BMT,FALSE,Subway,40.629742,-74.02551,Manhattan,Bay Ridge,0,0,0,,POINT (-74.02551 40.629742)
Bk,4th Av,86 St,R,"3189,7543",R44,38,38,BMT,FALSE,Subway,40.622687,-74.028398,Manhattan,Bay Ridge,1,1,1,,POINT (-74.028398 40.622687)
Bk,4th Av,Bay Ridge-95 St,R,"3185,7654",R45,39,39,BMT,FALSE,Subway,40.616622,-74.030876,Manhattan,Last Stop,0,0,0,,POINT (-74.030876 40.616622)
Bk,6th Av - Culver,York St,F,"2804,5273",F18,235,235,IND,FALSE,Subway,40.701397,-73.986751,Manhattan,Southbound,0,0,0,,POINT (-73.986751 40.701397)
Bk,6th Av - Culver,Bergen St,F G,"2825,6444",F20,236,236,IND,FALSE,Subway,40.686145,-73.990862,Northbound,Southbound,0,0,0,,POINT (-73.990862 40.686145)
Bk,6th Av - Culver,Carroll St,F G,"2827,6525",F21,237,237,IND,FALSE,Subway,40.680303,-73.995048,Northbound,Southbound,0,0,0,,POINT (-73.995048 40.680303)
Bk,6th Av - Culver,Smith-9 Sts,F G,"2916,6593",F22,238,238,IND,FALSE,Viaduct,40.67358,-73.995959,Northbound,Southbound,0,0,0,,POINT (-73.995959 40.67358)
Bk,6th Av - Culver,4 Av-9 St,F G,"3147,6593",F23,239,608,IND,FALSE,Viaduct,40.670272,-73.989779,Northbound,Southbound,0,0,0,,POINT (-73.989779 40.670272)
Bk,6th Av - Culver,7 Av,F G,"3347,6594",F24,240,240,IND,FALSE,Subway,40.666271,-73.980305,Northbound,Southbound,1,1,1,,POINT (-73.980305 40.666271)
Bk,6th Av - Culver,15 St-Prospect Park,F G,"3561,6666",F25,241,241,IND,FALSE,Subway,40.660365,-73.979493,Northbound,Southbound,0,0,0,,POINT (-73.979493 40.660365)
Bk,6th Av - Culver,Fort Hamilton Pkwy,F G,"3665,6769",F26,242,242,IND,FALSE,Subway,40.650782,-73.975776,Northbound,Southbound,0,0,0,,POINT (-73.975776 40.650782)
Bk,6th Av - Culver,Church Av,F G,"3782,6879",F27,243,243,IND,FALSE,Subway,40.644041,-73.979678,Northbound,Southbound,1,1,1,,POINT (-73.979678 40.644041)
